Name,Aliases,Currency,NewDate,New,OldDate,Old,Delta,PctDelta,AgeDays,Stale,Failed
IE0008368742,,USD,2026-09-23,190.04,2026-09-22,191.30,-1.26,-0.66,1,False,False
IE00B0M63516,,USD,2026-09-23,30.26,2026-09-22,30.27,-0.01,-0.03,1,False,False
GB00B1FXTF86,,GBP,2026-09-23,7.21,2026-09-22,7.14,0.07,+0.98,1,False,False
LU0196696453,,USD,2026-09-23,21.35,2026-09-22,21.34,0.01,+0.05,1,False,False
MU0129U00005,,USD,2026-09-22,305.08,2026-09-21,305.74,-0.66,-0.22,2,False,False
LU0164881194,,USD,2026-09-23,287.72,2026-09-22,287.02,0.7,+0.24,1,False,False
0P00000YAN,JFM0003373,USD,2026-09-22,194.43,2026-09-21,192.71,1.72,+0.89,2,False,False
SGLN.L,,GBp,2026-09-23,6265,2026-09-22,6297,-32,-0.51,1,False,False
DPYG.L,,GBP,2026-09-23,5.052,2026-09-22,5.098,-0.046,-0.90,1,False,False
IDTG.L,,GBP,2026-09-23,2.7575,2026-09-22,2.7925,-0.035,-1.25,1,False,False
QQQ,,USD,2026-09-23,741.21,2026-09-22,747.46,-6.25,-0.84,1,False,False
BCHS.L,,GBp,2026-09-23,15264,2026-09-22,15266,-2,-0.01,1,False,False
GRAB,,USD,2026-09-23,3.2,2026-09-22,3.17,0.03,+0.95,1,False,False
KNSL,,USD,2026-09-23,339.38,2026-09-22,351.83,-12.45,-3.54,1,False,False
CNX1.L,,GBp,2026-09-23,132100,2026-09-22,131940,160,+0.12,1,False,False
IWDG.L,,GBp,2026-09-23,1263.5,2026-09-22,1271,-7.5,-0.59,1,False,False
QNTG.L,,GBP,2026-09-23,22.435,2026-09-22,22.22,0.215,+0.97,1,False,False
ISPE.L,,GBP,2026-09-23,7.426,2026-09-22,7.445,-0.019,-0.26,1,False,False
GHYS.L,,GBP,2026-09-23,87.55,2026-09-22,88.2,-0.65,-0.74,1,False,False
EWQX.L,,GBp,2026-09-23,619,2026-09-22,616.7,2.3,+0.37,1,False,False
IUAG.L,,USD,2026-09-23,91.035,2026-09-22,91.51,-0.475,-0.52,1,False,False
FLOS.L,,GBp,2026-09-23,479.375,2026-09-22,479.375,0,+0.00,1,False,False
0639.HK,,HKD,2026-09-23,2.765,2026-09-22,2.75,0.015,+0.55,1,False,False
INXG.L,,GBP,2026-09-23,10.878,2026-09-22,10.994,-0.116,-1.06,1,False,False
IGLS.L,,GBP,2026-09-23,124.8,2026-09-22,125.03,-0.23,-0.18,1,False,False
IGWD.L,,GBp,2026-09-23,13494,2026-09-22,13570,-76,-0.56,1,False,False
NZDGBP,,,2026-09-24,0.428400,2026-09-23,0.428700,-0.000300,-0.07,0,False,False
SGDGBP,,,2026-09-24,0.590000,2026-09-23,0.587740,0.002260,+0.38,0,False,False
USDGBP,,,2026-09-24,0.755950,2026-09-23,0.749450,0.006500,+0.87,0,False,False
HKDGBP,,,2026-09-24,0.096340,2026-09-23,0.095553,0.000787,+0.82,0,False,False
