Pair,Date,Rate
HKDGBP,2023-01-02,0.105840
NZDGBP,2023-01-02,0.521950
SGDGBP,2023-01-02,0.615660
USDGBP,2023-01-02,0.825060
HKDGBP,2023-01-03,0.106186
NZDGBP,2023-01-03,0.524300
SGDGBP,2023-01-03,0.618030
USDGBP,2023-01-03,0.828990
HKDGBP,2023-01-04,0.106906
NZDGBP,2023-01-04,0.521780
SGDGBP,2023-01-04,0.620920
USDGBP,2023-01-04,0.835440
HKDGBP,2023-01-05,0.106114
NZDGBP,2023-01-05,0.521150
SGDGBP,2023-01-05,0.618200
USDGBP,2023-01-05,0.829390
HKDGBP,2023-01-06,0.107465
NZDGBP,2023-01-06,0.522940
SGDGBP,2023-01-06,0.623800
USDGBP,2023-01-06,0.839470
HKDGBP,2023-01-09,0.105685
NZDGBP,2023-01-09,0.524720
SGDGBP,2023-01-09,0.618710
USDGBP,2023-01-09,0.825330
HKDGBP,2023-01-10,0.105127
NZDGBP,2023-01-10,0.522500
SGDGBP,2023-01-10,0.616810
USDGBP,2023-01-10,0.820690
HKDGBP,2023-01-11,0.105346
NZDGBP,2023-01-11,0.524120
SGDGBP,2023-01-11,0.617740
USDGBP,2023-01-11,0.822740
HKDGBP,2023-01-12,0.105279
NZDGBP,2023-01-12,0.523540
SGDGBP,2023-01-12,0.617932
USDGBP,2023-01-12,0.822400
HKDGBP,2023-01-13,0.104819
NZDGBP,2023-01-13,0.522710
SGDGBP,2023-01-13,0.618850
USDGBP,2023-01-13,0.818480
HKDGBP,2023-01-16,0.104706
NZDGBP,2023-01-16,0.522100
SGDGBP,2023-01-16,0.619570
USDGBP,2023-01-16,0.817880
HKDGBP,2023-01-17,0.104877
NZDGBP,2023-01-17,0.523310
SGDGBP,2023-01-17,0.620460
USDGBP,2023-01-17,0.819150
HKDGBP,2023-01-18,0.104116
NZDGBP,2023-01-18,0.523530
SGDGBP,2023-01-18,0.616460
USDGBP,2023-01-18,0.814020
HKDGBP,2023-01-19,0.103515
NZDGBP,2023-01-19,0.521880
SGDGBP,2023-01-19,0.613430
USDGBP,2023-01-19,0.809870
HKDGBP,2023-01-20,0.103033
NZDGBP,2023-01-20,0.515800
SGDGBP,2023-01-20,0.610480
USDGBP,2023-01-20,0.806890
HKDGBP,2023-01-23,0.102972
NZDGBP,2023-01-23,0.522920
SGDGBP,2023-01-23,0.609580
