Fund,Date,Price,Currency
0639.HK,2026-09-25,2.72,HKD
0P00000YAN,2026-09-23,193.86,USD
BCHS.L,2026-09-25,14806,GBp
CNX1.L,2026-09-25,132540,GBp
DPYG.L,2026-09-25,4.98175,GBP
EWQX.L,2026-09-25,618.9,GBp
FLOS.L,2026-09-25,479.375,GBp
GB00B1FXTF86,2026-09-25,7.13,GBP
GHYS.L,2026-09-25,87.14,GBP
GRAB,2026-09-25,3.13,USD
IDTG.L,2026-09-25,2.702,GBP
IE0008368742,2026-09-25,187.52,USD
IE00B0M63516,2026-09-25,29.46,USD
IGLS.L,2026-09-25,124.99,GBP
IGWD.L,2026-09-25,13484.5,GBp
INXG.L,2026-09-25,10.856,GBP
ISPE.L,2026-09-25,7.374,GBP
IUAG.L,2026-09-25,90.52,USD
IWDG.L,2026-09-25,1263.5,GBp
JFM0003373,2026-09-23,193.86,USD
KNSL,2026-09-25,330.49,USD
LU0164881194,2026-09-24,282.95,USD
LU0196696453,2026-09-24,20.99,USD
MU0129U00005,2026-09-24,297.87,USD
QNTG.L,2026-09-25,22.755,GBP
QQQ,2026-09-25,744.5,USD
SGLN.L,2026-09-25,6273,GBp
