Fund,Date,Price,Currency
LU0164881194,2023-01-02,233.50,USD
0639.HK,2023-01-03,2.52,HKD
0P00000YAN,2023-01-03,143.37,USD
BCHS.L,2023-01-03,4550.5,GBp
BKCH,2023-01-03,2.4705,USD
CNX1.L,2023-01-03,51286.5,GBp
DPYG.L,2023-01-03,4.5455,GBP
FLOS.L,2023-01-03,473.8,GBp
GB00B1FXTF86,2023-01-03,7.72,GBP
GHYS.L,2023-01-03,84.105,GBP
GRAB,2023-01-03,3.46,USD
IDTG.L,2023-01-03,3.51175,GBP
IE0008368742,2023-01-03,193.54,USD
IE00B0M63516,2023-01-03,21.29,USD
IGLS.L,2023-01-03,125.93,GBP
IGWD.L,2023-01-03,6804.5,GBp
INXG.L,2023-01-03,13.85,GBP
ISPE.L,2023-01-03,4.8015,GBP
IUAG.L,2023-01-03,92.61,USD
IWDG.L,2023-01-03,664.75,GBp
JFM0003373,2023-01-03,143.37,USD
KNSL,2023-01-03,260.29,USD
LU0164881194,2023-01-03,233.73,USD
LU0196696453,2023-01-03,13.64,USD
MU0129U00005,2023-01-03,300.16,USD
QQQ,2023-01-03,264.48,USD
SGLN.L,2023-01-03,2974,GBp
SPOG,2023-01-03,2037.25,GBp
0639.HK,2023-01-04,2.52,HKD
0P00000YAN,2023-01-04,143.7,USD
BCHS.L,2023-01-04,4645,GBp
BKCH,2023-01-04,2.69325,USD
CNX1.L,2023-01-04,51444.5,GBp
DPYG.L,2023-01-04,4.62825,GBP
FLOS.L,2023-01-04,473.45,GBp
GB00B1FXTF86,2023-01-04,7.60,GBP
GHYS.L,2023-01-04,84.59,GBP
GRAB,2023-01-04,3.5,USD
IDTG.L,2023-01-04,3.559,GBP
IE0008368742,2023-01-04,197.56,USD
IE00B0M63516,2023-01-04,21.14,USD
IGLS.L,2023-01-04,126.28,GBP
IGWD.L,2023-01-04,6869.5,GBp
INXG.L,2023-01-04,13.996,GBP
ISPE.L,2023-01-04,4.8745,GBP
IUAG.L,2023-01-04,93.21,USD
IWDG.L,2023-01-04,670.875,GBp
JFM0003373,2023-01-04,143.7,USD
KNSL,2023-01-04,257.68,USD
LU0164881194,2023-01-04,231.24,USD
LU0196696453,2023-01-04,13.36,USD
MU0129U00005,2023-01-04,298.15,USD
QQQ,2023-01-04,265.74,USD
SGLN.L,2023-01-04,3005.5,GBp
SPOG,2023-01-04,1998.75,GBp
0639.HK,2023-01-05,2.54,HKD
0P00000YAN,2023-01-05,143.89,USD
BCHS.L,2023-01-05,4628.5,GBp
BKCH,2023-01-05,2.68725,USD
CNX1.L,2023-01-05,51361,GBp
DPYG.L,2023-01-05,4.544,GBP
FLOS.L,2023-01-05,473.775,GBp
GB00B1FXTF86,2023-01-05,7.67,GBP
GHYS.L,2023-01-05,84.345,GBP
GRAB,2023-01-05,3.48,USD
IDTG.L,2023-01-05,3.56525,GBP
IE0008368742,2023-01-05,201.19,USD
IE00B0M63516,2023-01-05,21.72,USD
IGLS.L,2023-01-05,126.17,GBP
IGWD.L,2023-01-05,6813.5,GBp
