Fund,Date,Price,Currency
0639.HK,2026-06-25,2.29,HKD
0P00000YAN,2026-06-25,183.79,USD
BCHS.L,2026-06-25,13876,GBp
CNX1.L,2026-06-25,127550,GBp
DPYG.L,2026-06-25,5.361,GBP
EWQX.L,2026-06-25,612.55,GBp
FLOS.L,2026-06-25,474.625,GBp
GB00B1FXTF86,2026-06-25,7.52,GBP
GHYS.L,2026-06-25,89.515,GBP
GRAB,2026-06-25,3.46,USD
IDTG.L,2026-06-25,2.9585,GBP
IE0008368742,2026-06-25,193.46,USD
IE00B0M63516,2026-06-25,27.76,USD
IGLS.L,2026-06-25,127.83,GBP
IGWD.L,2026-06-25,12971,GBp
INXG.L,2026-06-25,11.054,GBP
ISPE.L,2026-06-25,7.4175,GBP
IUAG.L,2026-06-25,93.83,USD
IWDG.L,2026-06-25,1220.5,GBp
JFM0003373,2026-06-25,183.79,USD
KNSL,2026-06-25,308.43,USD
LU0164881194,2026-06-25,290.23,USD
LU0196696453,2026-06-25,19.67,USD
MU0129U00005,2026-06-25,308.97,USD
QNTG.L,2026-06-25,22.79,GBP
QQQ,2026-06-25,716.38,USD
SGLN.L,2026-06-25,5910,GBp
0639.HK,2026-06-26,2.11,HKD
0P00000YAN,2026-06-26,182.96,USD
BCHS.L,2026-06-26,13992,GBp
CNX1.L,2026-06-26,127340,GBp
DPYG.L,2026-06-26,5.4345,GBP
EWQX.L,2026-06-26,611.2,GBp
FLOS.L,2026-06-26,474.8,GBp
GHYS.L,2026-06-26,89.5,GBP
GRAB,2026-06-26,3.55,USD
IDTG.L,2026-06-26,2.9525,GBP
IE0008368742,2026-06-26,188.25,USD
IE00B0M63516,2026-06-26,28.05,USD
IGLS.L,2026-06-26,127.73,GBP
IGWD.L,2026-06-26,12968,GBp
INXG.L,2026-06-26,10.954,GBP
ISPE.L,2026-06-26,7.438,GBP
IUAG.L,2026-06-26,93.75,USD
IWDG.L,2026-06-26,1218.5,GBp
JFM0003373,2026-06-26,182.96,USD
KNSL,2026-06-26,328.43,USD
LU0196696453,2026-06-26,19.82,USD
QNTG.L,2026-06-26,22.705,GBP
QQQ,2026-06-26,706.52,USD
